"","diff","lwr","upr","p_adj","parameter","p_adj_0.05","fish","region_pairs"
"1",0.0166243601447995,-0.0582655932156925,0.0915143135052914,0.992605242225574,"region",0,1,"B-A"
"2",-0.0190380763531005,-0.0939280297135924,0.0558518770073914,0.983888826249772,"region",0,1,"C-A"
"3",-0.0293544736227312,-0.104244426983223,0.0455354797377607,0.863320189048971,"region",0,1,"D-A"
"4",-0.0254455484157602,-0.100335501776252,0.0494444049447317,0.92760002417078,"region",0,1,"E-A"
"5",-0.060757925400396,-0.135647878760888,0.0141320279600959,0.160421224164254,"region",0,1,"F-A"
"6",-0.130005728385578,-0.20489568174607,-0.0551157750250865,0.00037947128926108,"region",1,1,"G-A"
"7",-0.106216389461647,-0.181106342822139,-0.0313264361011551,0.00304028410729063,"region",1,1,"H-A"
"8",-0.0356624364979,-0.110552389858392,0.039227516862592,0.716941781589027,"region",0,1,"C-B"
"9",-0.0459788337675306,-0.120868787128023,0.0289111195929613,0.439951340371814,"region",0,1,"D-B"
"10",-0.0420699085605597,-0.116959861921052,0.0328200447999322,0.542855439976502,"region",0,1,"E-B"
"11",-0.0773822855451955,-0.152272238905687,-0.00249233218470356,0.0402494827700659,"region",1,1,"F-B"
"12",-0.146630088530378,-0.22152004189087,-0.071740135169886,9.55464478088475e-05,"region",1,1,"G-B"
"13",-0.122840749606446,-0.197730702966938,-0.0479507962459545,0.000701838398214916,"region",1,1,"H-B"
"14",-0.0103163972696307,-0.0852063506301226,0.0645735560908613,0.999627066852516,"region",0,1,"D-C"
"15",-0.00640747206265974,-0.0812974254231517,0.0684824812978322,0.999984672961582,"region",0,1,"E-C"
"16",-0.0417198490472955,-0.116609802407787,0.0331701043131964,0.552382893775325,"region",0,1,"F-C"
"17",-0.110967652032478,-0.18585760539297,-0.036077698671986,0.00199022753098876,"region",1,1,"G-C"
"18",-0.0871783131085465,-0.162068266469038,-0.0122883597480546,0.0168654002949595,"region",1,1,"H-C"
"19",0.00390892520697095,-0.070981028153521,0.0787988785674629,0.999999489682259,"region",0,1,"E-D"
"20",-0.0314034517776648,-0.106293405138157,0.0434865015828271,0.820713350526884,"region",0,1,"F-D"
"21",-0.100651254762847,-0.175541208123339,-0.0257613014023553,0.00501056688697155,"region",1,1,"G-D"
"22",-0.0768619158389158,-0.151751869199408,-0.00197196247842389,0.0421224226697717,"region",1,1,"H-D"
"23",-0.0353123769846358,-0.110202330345128,0.0395775763758561,0.726063503789675,"region",0,1,"F-E"
"24",-0.104560179969818,-0.17945013333031,-0.0296702266093263,0.0035265444015018,"region",1,1,"G-E"
"25",-0.0807708410458868,-0.155660794406379,-0.00588088768539484,0.029868273649305,"region",1,1,"H-E"
"26",-0.0692478029851824,-0.144137756345674,0.0056421503753095,0.0808661695933968,"region",0,1,"G-F"
"27",-0.045458464061251,-0.120348417421743,0.029431489299241,0.453170239704187,"region",0,1,"H-F"
"28",0.0237893389239315,-0.0511006144365605,0.0986792922844234,0.947706114793131,"region",0,1,"H-G"
"29",0.0183531446983964,-0.0622900430877711,0.098996332484564,0.991441819478658,"region",0,7,"B-A"
"30",0.0170542268183363,-0.0635889609678313,0.0976974146045039,0.99445472279321,"region",0,7,"C-A"
"31",-0.00744375712940692,-0.0880869449155745,0.0731994306567607,0.999974310318357,"region",0,7,"D-A"
"32",-0.0514440152071656,-0.132087202993333,0.029199172579002,0.395811860396923,"region",0,7,"E-A"
"33",-0.0609587031840442,-0.141601890970212,0.0196844846021234,0.219018758812798,"region",0,7,"F-A"
"34",-0.0844194580083874,-0.165062645794555,-0.00377627022221982,0.0368242334772944,"region",1,7,"G-A"
"35",-0.0543852659568529,-0.135028453743021,0.0262579218293146,0.33360185589646,"region",0,7,"H-A"
"36",-0.00129891788006015,-0.0819421056662277,0.0793442699061074,0.999999999859779,"region",0,7,"C-B"
"37",-0.0257969018278034,-0.106440089613971,0.0548462859583642,0.94586682740341,"region",0,7,"D-B"
"38",-0.0697971599055621,-0.15044034769173,0.0108460278806055,0.116414504608418,"region",0,7,"E-B"
"39",-0.0793118478824407,-0.159955035668608,0.00133133990372691,0.0556288226933377,"region",0,7,"F-B"
"40",-0.102772602706784,-0.183415790492951,-0.0221294149206163,0.00801402069274992,"region",1,7,"G-B"
"41",-0.0727384106552494,-0.153381598441417,0.00790477713091819,0.0931376035682401,"region",0,7,"H-B"
"42",-0.0244979839477432,-0.105141171733911,0.0561452038384244,0.958210761117441,"region",0,7,"D-C"
"43",-0.0684982420255019,-0.14914142981167,0.0121449457606657,0.128237995430756,"region",0,7,"E-C"
"44",-0.0780129300023805,-0.158656117788548,0.00263025778378706,0.0616895528298868,"region",0,7,"F-C"
"45",-0.101473684826724,-0.182116872612891,-0.0208304970405561,0.00893518271507443,"region",1,7,"G-C"
"46",-0.0714394927751892,-0.152082680561357,0.00920369501097834,0.102847981071958,"region",0,7,"H-C"
"47",-0.0440002580777587,-0.124643445863926,0.0366429297084089,0.575868727783245,"region",0,7,"E-D"
"48",-0.0535149460546373,-0.134158133840805,0.0271282417315303,0.351342153548126,"region",0,7,"F-D"
"49",-0.0769757008789805,-0.157618888665148,0.0036674869071871,0.0669658456847212,"region",0,7,"G-D"
"50",-0.046941508827446,-0.127584696613614,0.0337016789587216,0.501888434630278,"region",0,7,"H-D"
"51",-0.0095146879768786,-0.0901578757630462,0.071128499809289,0.999865952789878,"region",0,7,"F-E"
"52",-0.0329754428012218,-0.113618630587389,0.0476677449849458,0.837604000784758,"region",0,7,"G-E"
"53",-0.00294125074968732,-0.0835844385358549,0.0777019370364803,0.999999957759804,"region",0,7,"H-E"
"54",-0.0234607548243432,-0.104103942610511,0.0571824329618244,0.966569741989888,"region",0,7,"G-F"
"55",0.00657343722719128,-0.0740697505589763,0.0872166250133589,0.999988989188827,"region",0,7,"H-F"
"56",0.0300341920515345,-0.0506089957346331,0.110677379837702,0.890113242815496,"region",0,7,"H-G"
